dynamical_F_subnet_args_output_dim,dynamical_F_subnet_args_layers_num,solution_u_args_layers_num,dynamical_F_args_hidden_dim,dynamical_F_subnet_args_hidden_dim,spinn_enabled_dynamical_F,model_id,solution_u_args_hidden_dim,dynamical_F_subnet_args_activation,solution_u_subnet_args_hidden_dim,dynamical_F_args_dropout,solution_u_subnet_args_layers_num,dynamical_F_args_layers_num,solution_u_subnet_args_dropout,dynamical_F_subnet_args_dropout,num_params,solution_u_args_dropout,solution_u_subnet_args_activation,spinn_enabled_solution_u,dynamical_F_args_activation,solution_u_args_activation,solution_u_subnet_args_output_dim,mean_MAE,mean_MAPE,mean_RMSE
5.0,5.0,-1.0,-1.0,8.0,True,12,-1.0,leaky-relu,8.0,-1.0,3.0,-1.0,0.0,0.0,12008,-1.0,leaky-relu,True,-1,-1,5.0,0.008555283614744743,0.929619,0.011769159620107364
-1.0,-1.0,-1.0,40.0,-1.0,False,121,-1.0,-1,15.0,0.0,2.0,3.0,0.0,-1.0,6368,-1.0,leaky-relu,True,leaky-relu,-1,10.0,0.00866367295384407,0.93571043,0.011788447373648625
-1.0,-1.0,-1.0,20.0,-1.0,False,140,-1.0,-1,15.0,0.0,3.0,5.0,0.0,-1.0,9328,-1.0,leaky-relu,True,leaky-relu,-1,10.0,0.008562039118260145,0.92727107,0.01186787585845229
5.0,2.0,-1.0,-1.0,8.0,True,37,-1.0,leaky-relu,15.0,-1.0,3.0,-1.0,0.0,0.0,9497,-1.0,leaky-relu,True,-1,-1,10.0,0.008457865100353956,0.9157998,0.011890410550213943
-1.0,-1.0,-1.0,40.0,-1.0,False,148,-1.0,-1,15.0,0.0,2.0,5.0,0.0,-1.0,9648,-1.0,leaky-relu,True,leaky-relu,-1,10.0,0.008777548714230457,0.94746464,0.011913238494698794
-1.0,-1.0,-1.0,40.0,-1.0,False,92,-1.0,-1,8.0,0.0,3.0,2.0,0.0,-1.0,3759,-1.0,leaky-relu,True,leaky-relu,-1,5.0,0.008837154135107994,0.9557422,0.011914605304015622
5.0,2.0,-1.0,-1.0,8.0,True,73,-1.0,leaky-relu,23.0,-1.0,5.0,-1.0,0.0,0.0,37241,-1.0,leaky-relu,True,-1,-1,15.0,0.008532801643013954,0.92175555,0.011917412142573308
5.0,3.0,5.0,-1.0,8.0,True,236,60.0,leaky-relu,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,16811,0.0,-1,False,-1,leaky-relu,-1.0,0.008560255480309328,0.93315107,0.011962056466027307
10.0,5.0,5.0,-1.0,15.0,True,240,60.0,leaky-relu,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,44006,0.0,-1,False,-1,leaky-relu,-1.0,0.008676047514503201,0.94283515,0.011972080342108558
5.0,5.0,3.0,-1.0,8.0,True,210,60.0,leaky-relu,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,14531,0.0,-1,False,-1,leaky-relu,-1.0,0.008460945372159282,0.91963404,0.011984740623433333
10.0,5.0,5.0,-1.0,15.0,True,231,40.0,leaky-relu,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,37566,0.0,-1,False,-1,leaky-relu,-1.0,0.008647185439864794,0.9423279,0.011996784956844503
15.0,3.0,-1.0,-1.0,23.0,True,62,-1.0,leaky-relu,23.0,-1.0,2.0,-1.0,0.0,0.0,40484,-1.0,leaky-relu,True,-1,-1,15.0,0.008813101643075546,0.9535405,0.012021575407695323
-1.0,-1.0,-1.0,20.0,-1.0,False,137,-1.0,-1,8.0,0.0,3.0,5.0,0.0,-1.0,4279,-1.0,leaky-relu,True,leaky-relu,-1,5.0,0.00899534858763218,0.972621,0.012054947259735835
-1.0,-1.0,-1.0,20.0,-1.0,False,85,-1.0,-1,15.0,0.0,2.0,2.0,0.0,-1.0,3988,-1.0,leaky-relu,True,leaky-relu,-1,10.0,0.008602394567181667,0.9329343,0.01210504328990322
-1.0,-1.0,-1.0,20.0,-1.0,False,88,-1.0,-1,23.0,0.0,2.0,2.0,0.0,-1.0,7660,-1.0,leaky-relu,True,leaky-relu,-1,15.0,0.008656503477444252,0.9368283,0.012148044980303647
15.0,3.0,-1.0,-1.0,23.0,True,17,-1.0,leaky-relu,8.0,-1.0,3.0,-1.0,0.0,0.0,35843,-1.0,leaky-relu,True,-1,-1,5.0,0.009366809468095502,1.0118484,0.012150458193608974
10.0,3.0,-1.0,-1.0,15.0,True,59,-1.0,leaky-relu,23.0,-1.0,2.0,-1.0,0.0,0.0,22004,-1.0,leaky-relu,True,-1,-1,15.0,0.00883323373273015,0.95699066,0.012179881827222414
-1.0,-1.0,-1.0,20.0,-1.0,False,115,-1.0,-1,23.0,0.0,2.0,3.0,0.0,-1.0,8080,-1.0,leaky-relu,True,leaky-relu,-1,15.0,0.008871815167367458,0.9591491,0.012225128225924952
15.0,2.0,5.0,-1.0,23.0,True,241,60.0,leaky-relu,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,26366,0.0,-1,False,-1,leaky-relu,-1.0,0.008956432963411013,0.9741733,0.012240803923289583
5.0,5.0,-1.0,-1.0,8.0,True,57,-1.0,leaky-relu,23.0,-1.0,2.0,-1.0,0.0,0.0,16649,-1.0,leaky-relu,True,-1,-1,15.0,0.00878652255050838,0.9499422,0.012258187817620683
5.0,5.0,-1.0,-1.0,8.0,True,3,-1.0,leaky-relu,8.0,-1.0,2.0,-1.0,0.0,0.0,10784,-1.0,leaky-relu,True,-1,-1,5.0,0.009026523601884643,0.97605413,0.012268935590361914
15.0,5.0,5.0,-1.0,23.0,True,234,40.0,leaky-relu,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,77886,0.0,-1,False,-1,leaky-relu,-1.0,0.00880128921320041,0.958585,0.012314393744260467
5.0,3.0,-1.0,-1.0,8.0,True,11,-1.0,leaky-relu,8.0,-1.0,3.0,-1.0,0.0,0.0,6968,-1.0,leaky-relu,True,-1,-1,5.0,0.009089311740050713,0.97905034,0.012324290849157683
5.0,5.0,5.0,-1.0,8.0,True,228,40.0,leaky-relu,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,15411,0.0,-1,False,-1,leaky-relu,-1.0,0.009473665850237012,1.0254588,0.01235206793312727
10.0,2.0,-1.0,-1.0,15.0,True,40,-1.0,leaky-relu,15.0,-1.0,3.0,-1.0,0.0,0.0,14012,-1.0,leaky-relu,True,-1,-1,10.0,0.008942807791754603,0.97037286,0.012386727588127285
10.0,3.0,5.0,-1.0,15.0,True,239,60.0,leaky-relu,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,27206,0.0,-1,False,-1,leaky-relu,-1.0,0.008752256554240981,0.9531789,0.012400525395506554
5.0,3.0,5.0,-1.0,8.0,True,227,40.0,leaky-relu,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,10371,0.0,-1,False,-1,leaky-relu,-1.0,0.008938232048725089,0.9745962,0.012418686349873682
10.0,5.0,-1.0,-1.0,15.0,True,60,-1.0,leaky-relu,23.0,-1.0,2.0,-1.0,0.0,0.0,38804,-1.0,leaky-relu,True,-1,-1,15.0,0.008654994812483588,0.93992394,0.01245243119272863
10.0,2.0,5.0,-1.0,15.0,True,238,60.0,leaky-relu,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,18806,0.0,-1,False,-1,leaky-relu,-1.0,0.008641766849905252,0.94175225,0.01246768300115738
15.0,5.0,3.0,-1.0,23.0,True,216,60.0,leaky-relu,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,77006,0.0,-1,False,-1,leaky-relu,-1.0,0.008909574865053097,0.9667776,0.01246878754989072
-1.0,-1.0,-1.0,20.0,-1.0,False,139,-1.0,-1,15.0,0.0,2.0,5.0,0.0,-1.0,5248,-1.0,leaky-relu,True,leaky-relu,-1,10.0,0.008886279305443168,0.9624948,0.012469313811052518
5.0,3.0,3.0,-1.0,8.0,True,209,60.0,leaky-relu,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,9491,0.0,-1,False,-1,leaky-relu,-1.0,0.008561682887375355,0.930216,0.01248842107357557
15.0,3.0,-1.0,-1.0,23.0,True,35,-1.0,leaky-relu,15.0,-1.0,2.0,-1.0,0.0,0.0,36812,-1.0,leaky-relu,True,-1,-1,10.0,0.009037108859047294,0.979363,0.012501658247991465
10.0,5.0,3.0,-1.0,15.0,True,213,60.0,leaky-relu,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,36686,0.0,-1,False,-1,leaky-relu,-1.0,0.008972289273515344,0.9759197,0.012512982434471473
-1.0,-1.0,-1.0,60.0,-1.0,False,133,-1.0,-1,23.0,0.0,2.0,3.0,0.0,-1.0,12800,-1.0,leaky-relu,True,leaky-relu,-1,15.0,0.009025370934978127,0.97689265,0.012575422541692532
-1.0,-1.0,-1.0,40.0,-1.0,False,151,-1.0,-1,23.0,0.0,2.0,5.0,0.0,-1.0,13320,-1.0,leaky-relu,True,leaky-relu,-1,15.0,0.009073746390640736,0.9834559,0.012592827310020573
-1.0,-1.0,-1.0,60.0,-1.0,False,130,-1.0,-1,15.0,0.0,2.0,3.0,0.0,-1.0,9128,-1.0,leaky-relu,True,leaky-relu,-1,10.0,0.009155589000632366,0.99097794,0.012605351145392423
5.0,2.0,-1.0,-1.0,8.0,True,64,-1.0,leaky-relu,23.0,-1.0,3.0,-1.0,0.0,0.0,18473,-1.0,leaky-relu,True,-1,-1,15.0,0.009497104988743862,1.0250807,0.01263378927300745
-1.0,-1.0,-1.0,60.0,-1.0,False,103,-1.0,-1,15.0,0.0,2.0,2.0,0.0,-1.0,5468,-1.0,leaky-relu,True,leaky-relu,-1,10.0,0.008878288868193826,0.96399397,0.012660867368785612
-1.0,-1.0,-1.0,20.0,-1.0,False,142,-1.0,-1,23.0,0.0,2.0,5.0,0.0,-1.0,8920,-1.0,leaky-relu,True,leaky-relu,-1,15.0,0.009341117615501085,1.0078281,0.012679947454720628
-1.0,-1.0,-1.0,60.0,-1.0,False,106,-1.0,-1,23.0,0.0,2.0,2.0,0.0,-1.0,9140,-1.0,leaky-relu,True,leaky-relu,-1,15.0,0.009076057389999429,0.9846139,0.01270179939525806
15.0,3.0,5.0,-1.0,23.0,True,233,40.0,leaky-relu,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,39246,0.0,-1,False,-1,leaky-relu,-1.0,0.009171625832095742,0.9991359,0.01280705824095144
5.0,2.0,5.0,-1.0,8.0,True,226,40.0,leaky-relu,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,7851,0.0,-1,False,-1,leaky-relu,-1.0,0.00897117261774838,0.9780242,0.0128553993963538
-1.0,-1.0,-1.0,20.0,-1.0,False,82,-1.0,-1,8.0,0.0,2.0,2.0,0.0,-1.0,1795,-1.0,leaky-relu,True,leaky-relu,-1,5.0,0.009476950547347466,1.0237467,0.012914907903190007
-1.0,-1.0,-1.0,40.0,-1.0,False,124,-1.0,-1,23.0,0.0,2.0,3.0,0.0,-1.0,10040,-1.0,leaky-relu,True,leaky-relu,-1,15.0,0.009658133378252387,1.0431019,0.012940878246712093
15.0,3.0,3.0,-1.0,23.0,True,206,40.0,leaky-relu,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,35966,0.0,-1,False,-1,leaky-relu,-1.0,0.009038098544503251,0.98303455,0.01298443122384983
15.0,5.0,3.0,-1.0,23.0,True,207,40.0,leaky-relu,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,74606,0.0,-1,False,-1,leaky-relu,-1.0,0.009157248617460331,0.99362665,0.01299956055385853
15.0,5.0,-1.0,-1.0,23.0,True,36,-1.0,leaky-relu,15.0,-1.0,2.0,-1.0,0.0,0.0,75452,-1.0,leaky-relu,True,-1,-1,10.0,0.00930406479164958,1.006414,0.013005817192615994
5.0,2.0,-1.0,-1.0,8.0,True,10,-1.0,leaky-relu,8.0,-1.0,3.0,-1.0,0.0,0.0,4448,-1.0,leaky-relu,True,-1,-1,5.0,0.00973746731566886,1.0494632,0.013044453832389424
15.0,3.0,3.0,-1.0,23.0,True,215,60.0,leaky-relu,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,38366,0.0,-1,False,-1,leaky-relu,-1.0,0.00946142477914691,1.0256027,0.01304891311972231
-1.0,-1.0,-1.0,40.0,-1.0,False,91,-1.0,-1,8.0,0.0,2.0,2.0,0.0,-1.0,2535,-1.0,leaky-relu,True,leaky-relu,-1,5.0,0.0101282539156576,1.0931312,0.013166640395174673
10.0,5.0,-1.0,-1.0,15.0,True,33,-1.0,leaky-relu,15.0,-1.0,2.0,-1.0,0.0,0.0,35132,-1.0,leaky-relu,True,-1,-1,10.0,0.009838046117996177,1.0580362,0.013176611482411385
10.0,2.0,-1.0,-1.0,15.0,True,58,-1.0,leaky-relu,23.0,-1.0,2.0,-1.0,0.0,0.0,13604,-1.0,leaky-relu,True,-1,-1,15.0,0.009561243389422694,1.0337477,0.013180252723088507
5.0,3.0,3.0,-1.0,8.0,True,200,40.0,leaky-relu,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,7091,0.0,-1,False,-1,leaky-relu,-1.0,0.008884283093114695,0.9713769,0.013187885390396883
-1.0,-1.0,-1.0,60.0,-1.0,False,154,-1.0,-1,8.0,0.0,2.0,5.0,0.0,-1.0,14255,-1.0,leaky-relu,True,leaky-relu,-1,5.0,0.00936400176336368,1.0169287,0.01319856131804071
5.0,2.0,5.0,-1.0,8.0,True,235,60.0,leaky-relu,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,14291,0.0,-1,False,-1,leaky-relu,-1.0,0.009405252911771337,1.0240587,0.01320723969068083
5.0,5.0,3.0,-1.0,8.0,True,201,40.0,leaky-relu,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,12131,0.0,-1,False,-1,leaky-relu,-1.0,0.009330634648601214,1.0159492,0.01321971906414847
15.0,2.0,-1.0,-1.0,23.0,True,61,-1.0,leaky-relu,23.0,-1.0,2.0,-1.0,0.0,0.0,21164,-1.0,leaky-relu,True,-1,-1,15.0,0.009316979519401988,1.0121268,0.013228451087153613
-1.0,-1.0,-1.0,60.0,-1.0,False,160,-1.0,-1,23.0,0.0,2.0,5.0,0.0,-1.0,20120,-1.0,leaky-relu,True,leaky-relu,-1,15.0,0.0091994006652385,0.99876314,0.013252213376104207
5.0,2.0,3.0,-1.0,8.0,True,208,60.0,leaky-relu,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,6971,0.0,-1,False,-1,leaky-relu,-1.0,0.009367319910476605,1.0130123,0.013288507341087316
-1.0,-1.0,-1.0,20.0,-1.0,False,136,-1.0,-1,8.0,0.0,2.0,5.0,0.0,-1.0,3055,-1.0,leaky-relu,True,leaky-relu,-1,5.0,0.009569843610127768,1.0350316,0.013352539448479661
10.0,3.0,3.0,-1.0,15.0,True,203,40.0,leaky-relu,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17486,0.0,-1,False,-1,leaky-relu,-1.0,0.009377474430948496,1.0216497,0.013401507862138671
10.0,2.0,-1.0,-1.0,15.0,True,31,-1.0,leaky-relu,15.0,-1.0,2.0,-1.0,0.0,0.0,9932,-1.0,leaky-relu,True,-1,-1,10.0,0.010086100238064924,1.0865104,0.013407379972112797
10.0,5.0,3.0,-1.0,15.0,True,204,40.0,leaky-relu,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,34286,0.0,-1,False,-1,leaky-relu,-1.0,0.009577290543044606,1.0406824,0.013429240441392149
10.0,2.0,5.0,-1.0,15.0,True,229,40.0,leaky-relu,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,12366,0.0,-1,False,-1,leaky-relu,-1.0,0.009843777865171432,1.0682427,0.013484175910965878
5.0,5.0,-1.0,-1.0,8.0,True,30,-1.0,leaky-relu,15.0,-1.0,2.0,-1.0,0.0,0.0,12977,-1.0,leaky-relu,True,-1,-1,10.0,0.010392255382612348,1.1191015,0.013499283991097425
10.0,2.0,3.0,-1.0,15.0,True,211,60.0,leaky-relu,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,11486,0.0,-1,False,-1,leaky-relu,-1.0,0.009904566376159588,1.0722172,0.01352638589291696
5.0,2.0,-1.0,-1.0,8.0,True,28,-1.0,leaky-relu,15.0,-1.0,2.0,-1.0,0.0,0.0,5417,-1.0,leaky-relu,True,-1,-1,10.0,0.00996891719599565,1.080463,0.0135267841707772
5.0,3.0,-1.0,-1.0,8.0,True,56,-1.0,leaky-relu,23.0,-1.0,2.0,-1.0,0.0,0.0,11609,-1.0,leaky-relu,True,-1,-1,15.0,0.00996164147121211,1.0775359,0.013602859427986872
10.0,5.0,-1.0,-1.0,15.0,True,6,-1.0,leaky-relu,8.0,-1.0,2.0,-1.0,0.0,0.0,32939,-1.0,leaky-relu,True,-1,-1,5.0,0.010042875229070583,1.0883042,0.01366562259961882
10.0,3.0,3.0,-1.0,15.0,True,212,60.0,leaky-relu,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,19886,0.0,-1,False,-1,leaky-relu,-1.0,0.010232889714340368,1.1043891,0.013696731871052534
10.0,2.0,-1.0,-1.0,15.0,True,4,-1.0,leaky-relu,8.0,-1.0,2.0,-1.0,0.0,0.0,7739,-1.0,leaky-relu,True,-1,-1,5.0,0.009944069587315122,1.0774002,0.013778635398145611
15.0,2.0,5.0,-1.0,23.0,True,232,40.0,leaky-relu,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,19926,0.0,-1,False,-1,leaky-relu,-1.0,0.009286808936546246,1.017584,0.0137804701939918
15.0,3.0,-1.0,-1.0,23.0,True,8,-1.0,leaky-relu,8.0,-1.0,2.0,-1.0,0.0,0.0,34619,-1.0,leaky-relu,True,-1,-1,5.0,0.010113779998694858,1.091797,0.013804256812012432
10.0,3.0,5.0,-1.0,15.0,True,230,40.0,leaky-relu,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,20766,0.0,-1,False,-1,leaky-relu,-1.0,0.009923696052283049,1.080093,0.013882772601490673
10.0,3.0,-1.0,-1.0,15.0,True,32,-1.0,leaky-relu,15.0,-1.0,2.0,-1.0,0.0,0.0,18332,-1.0,leaky-relu,True,-1,-1,10.0,0.010297565332924327,1.1169578,0.013935003324523186
10.0,2.0,3.0,-1.0,15.0,True,202,40.0,leaky-relu,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,9086,0.0,-1,False,-1,leaky-relu,-1.0,0.010470799325654903,1.1340843,0.014238700204752942
-1.0,-1.0,-1.0,60.0,-1.0,False,100,-1.0,-1,8.0,0.0,2.0,2.0,0.0,-1.0,3275,-1.0,leaky-relu,True,leaky-relu,-1,5.0,0.011089234690492352,1.1997384,0.0142715931643737
10.0,5.0,5.0,-1.0,15.0,True,222,20.0,leaky-relu,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,33526,0.0,-1,False,-1,leaky-relu,-1.0,0.01005302012587587,1.0981534,0.01446153878709306
10.0,2.0,-1.0,-1.0,15.0,True,13,-1.0,leaky-relu,8.0,-1.0,3.0,-1.0,0.0,0.0,8963,-1.0,leaky-relu,True,-1,-1,5.0,0.010609216755256057,1.1513982,0.014465869960447944
15.0,2.0,-1.0,-1.0,23.0,True,34,-1.0,leaky-relu,15.0,-1.0,2.0,-1.0,0.0,0.0,17492,-1.0,leaky-relu,True,-1,-1,10.0,0.010885914865260323,1.1717579,0.014469669579898413
5.0,2.0,-1.0,-1.0,8.0,True,1,-1.0,leaky-relu,8.0,-1.0,2.0,-1.0,0.0,0.0,3224,-1.0,leaky-relu,True,-1,-1,5.0,0.011747270201643309,1.2624228,0.014512640644948123
5.0,2.0,-1.0,-1.0,8.0,True,55,-1.0,leaky-relu,23.0,-1.0,2.0,-1.0,0.0,0.0,9089,-1.0,leaky-relu,True,-1,-1,15.0,0.011324258598809442,1.214712,0.014673091143760383
10.0,3.0,3.0,-1.0,15.0,True,194,20.0,leaky-relu,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,15886,0.0,-1,False,-1,leaky-relu,-1.0,0.010106847000618776,1.1007885,0.014713189652082506
10.0,5.0,3.0,-1.0,15.0,True,195,20.0,leaky-relu,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,32686,0.0,-1,False,-1,leaky-relu,-1.0,0.010212420485913754,1.1121833,0.01477906141312881
15.0,3.0,3.0,-1.0,23.0,True,197,20.0,leaky-relu,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,34366,0.0,-1,False,-1,leaky-relu,-1.0,0.010189134161919355,1.1072186,0.014882295954570754
15.0,2.0,3.0,-1.0,23.0,True,196,20.0,leaky-relu,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,15046,0.0,-1,False,-1,leaky-relu,-1.0,0.010947824145356813,1.1855968,0.014932288106133647
5.0,5.0,3.0,-1.0,8.0,True,192,20.0,leaky-relu,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,10531,0.0,-1,False,-1,leaky-relu,-1.0,0.010107947203020254,1.1023294,0.014968339165507062
15.0,2.0,3.0,-1.0,23.0,True,214,60.0,leaky-relu,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,19046,0.0,-1,False,-1,leaky-relu,-1.0,0.010565537338455519,1.1419446,0.015007872038550085
-1.0,-1.0,-1.0,60.0,-1.0,False,127,-1.0,-1,8.0,0.0,2.0,3.0,0.0,-1.0,6935,-1.0,leaky-relu,True,leaky-relu,-1,5.0,0.011467940794924894,1.2408916,0.015185551320338242
5.0,5.0,5.0,-1.0,8.0,True,219,20.0,leaky-relu,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,11371,0.0,-1,False,-1,leaky-relu,-1.0,0.01100799860432744,1.198983,0.01529865837778952
15.0,5.0,3.0,-1.0,23.0,True,198,20.0,leaky-relu,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,73006,0.0,-1,False,-1,leaky-relu,-1.0,0.010371065232902765,1.1310854,0.01538854406597597
15.0,5.0,5.0,-1.0,23.0,True,225,20.0,leaky-relu,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,73846,0.0,-1,False,-1,leaky-relu,-1.0,0.01102360850200057,1.1947669,0.015389596739985098
10.0,3.0,2.0,-1.0,15.0,True,185,60.0,leaky-relu,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,16226,0.0,-1,False,-1,leaky-relu,-1.0,0.0110330981357644,1.1916151,0.01545669247280717
10.0,2.0,2.0,-1.0,15.0,True,184,60.0,leaky-relu,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,7826,0.0,-1,False,-1,leaky-relu,-1.0,0.011214553378522396,1.2127907,0.015523594925107798
15.0,5.0,-1.0,-1.0,23.0,True,9,-1.0,leaky-relu,8.0,-1.0,2.0,-1.0,0.0,0.0,73259,-1.0,leaky-relu,True,-1,-1,5.0,0.011534740139419833,1.2474637,0.015636225760457676
5.0,2.0,3.0,-1.0,8.0,True,199,40.0,leaky-relu,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,4571,0.0,-1,False,-1,leaky-relu,-1.0,0.010471363241473833,1.1360811,0.015670661508263486
5.0,5.0,2.0,-1.0,8.0,True,174,40.0,leaky-relu,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,10491,0.0,-1,False,-1,leaky-relu,-1.0,0.01135009496162335,1.2273341,0.015686140729896023
5.0,5.0,2.0,-1.0,8.0,True,183,60.0,leaky-relu,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,10871,0.0,-1,False,-1,leaky-relu,-1.0,0.011777258788545927,1.2688819,0.015726873145546827
5.0,3.0,-1.0,-1.0,8.0,True,2,-1.0,leaky-relu,8.0,-1.0,2.0,-1.0,0.0,0.0,5744,-1.0,leaky-relu,True,-1,-1,5.0,0.012019998316342631,1.2947404,0.01579600172488163
10.0,2.0,3.0,-1.0,15.0,True,193,20.0,leaky-relu,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,7486,0.0,-1,False,-1,leaky-relu,-1.0,0.010837200563400984,1.1826298,0.015850959435326117
5.0,3.0,-1.0,-1.0,8.0,True,29,-1.0,leaky-relu,15.0,-1.0,2.0,-1.0,0.0,0.0,7937,-1.0,leaky-relu,True,-1,-1,10.0,0.010945088074853023,1.1878381,0.015921654200645452
15.0,2.0,5.0,-1.0,23.0,True,223,20.0,leaky-relu,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,15886,0.0,-1,False,-1,leaky-relu,-1.0,0.011655245752384266,1.2676381,0.016124148205088992
10.0,5.0,2.0,-1.0,15.0,True,186,60.0,leaky-relu,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,33026,0.0,-1,False,-1,leaky-relu,-1.0,0.011836901462326447,1.2781125,0.016180711552355655
5.0,3.0,5.0,-1.0,8.0,True,218,20.0,leaky-relu,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,6331,0.0,-1,False,-1,leaky-relu,-1.0,0.012032156654944023,1.3024875,0.016268062495242316
15.0,3.0,2.0,-1.0,23.0,True,179,40.0,leaky-relu,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,34326,0.0,-1,False,-1,leaky-relu,-1.0,0.012801421185334524,1.3747969,0.016570015069010954
15.0,2.0,3.0,-1.0,23.0,True,205,40.0,leaky-relu,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,16646,0.0,-1,False,-1,leaky-relu,-1.0,0.011876555159687996,1.2890328,0.016574768062165245
5.0,3.0,3.0,-1.0,8.0,True,191,20.0,leaky-relu,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,5491,0.0,-1,False,-1,leaky-relu,-1.0,0.011641921320309242,1.2641257,0.016658074352991097
15.0,2.0,2.0,-1.0,23.0,True,187,60.0,leaky-relu,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,15386,0.0,-1,False,-1,leaky-relu,-1.0,0.012226114748045802,1.3192537,0.016845792899618878
15.0,5.0,2.0,-1.0,23.0,True,189,60.0,leaky-relu,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,73346,0.0,-1,False,-1,leaky-relu,-1.0,0.012069139163941145,1.30465,0.01688684682650045
-1.0,-1.0,-1.0,40.0,-1.0,False,145,-1.0,-1,8.0,0.0,2.0,5.0,0.0,-1.0,7455,-1.0,leaky-relu,True,leaky-relu,-1,5.0,0.01310832790719966,1.4066076,0.01695421986607988
15.0,3.0,5.0,-1.0,23.0,True,224,20.0,leaky-relu,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,35206,0.0,-1,False,-1,leaky-relu,-1.0,0.012841062697892388,1.3861476,0.017049526144394558
10.0,3.0,-1.0,-1.0,15.0,True,5,-1.0,leaky-relu,8.0,-1.0,2.0,-1.0,0.0,0.0,16139,-1.0,leaky-relu,True,-1,-1,5.0,0.012668180279433727,1.3658444,0.017068268625248316
5.0,2.0,5.0,-1.0,8.0,True,217,20.0,leaky-relu,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,3811,0.0,-1,False,-1,leaky-relu,-1.0,0.011920541059225798,1.3027807,0.017250906474225277
10.0,3.0,2.0,-1.0,15.0,True,176,40.0,leaky-relu,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,15846,0.0,-1,False,-1,leaky-relu,-1.0,0.012986422826846441,1.399347,0.017492293815430143
15.0,3.0,2.0,-1.0,23.0,True,188,60.0,leaky-relu,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,34706,0.0,-1,False,-1,leaky-relu,-1.0,0.012618002326538166,1.3636225,0.017533133518113267
5.0,3.0,2.0,-1.0,8.0,True,182,60.0,leaky-relu,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,5831,0.0,-1,False,-1,leaky-relu,-1.0,0.012444052379578352,1.3437034,0.017628412002079083
5.0,2.0,3.0,-1.0,8.0,True,190,20.0,leaky-relu,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,2971,0.0,-1,False,-1,leaky-relu,-1.0,0.012807906294862429,1.3872052,0.017696001098830155
