dynamical_F_subnet_args_output_dim,dynamical_F_subnet_args_layers_num,solution_u_args_layers_num,dynamical_F_args_hidden_dim,dynamical_F_subnet_args_hidden_dim,spinn_enabled_dynamical_F,model_id,solution_u_args_hidden_dim,dynamical_F_subnet_args_activation,solution_u_subnet_args_hidden_dim,dynamical_F_args_dropout,solution_u_subnet_args_layers_num,dynamical_F_args_layers_num,solution_u_subnet_args_dropout,dynamical_F_subnet_args_dropout,num_params,solution_u_args_dropout,solution_u_subnet_args_activation,spinn_enabled_solution_u,dynamical_F_args_activation,solution_u_args_activation,solution_u_subnet_args_output_dim,mean_MAE,mean_MAPE,mean_RMSE
-1.0,-1.0,-1.0,60.0,-1.0,False,129,-1.0,-1,8.0,0.0,5.0,3.0,0.0,-1.0,10607,-1.0,leaky-relu,True,leaky-relu,-1,5.0,0.0072357395353416605,0.7876582,0.010109312259468673
-1.0,-1.0,-1.0,60.0,-1.0,False,101,-1.0,-1,8.0,0.0,3.0,2.0,0.0,-1.0,4499,-1.0,leaky-relu,True,leaky-relu,-1,5.0,0.007310547633096576,0.79324746,0.010113544081479997
-1.0,-1.0,-1.0,20.0,-1.0,False,84,-1.0,-1,8.0,0.0,5.0,2.0,0.0,-1.0,5467,-1.0,leaky-relu,True,leaky-relu,-1,5.0,0.007288605906069279,0.7901897,0.01011371703037041
-1.0,-1.0,-1.0,40.0,-1.0,False,96,-1.0,-1,15.0,0.0,5.0,2.0,0.0,-1.0,16968,-1.0,leaky-relu,True,leaky-relu,-1,10.0,0.007253641417870919,0.78840494,0.010118432834145244
-1.0,-1.0,-1.0,40.0,-1.0,False,99,-1.0,-1,23.0,0.0,5.0,2.0,0.0,-1.0,36552,-1.0,leaky-relu,True,leaky-relu,-1,15.0,0.007307074265554547,0.7939759,0.010138952842910104
-1.0,-1.0,-1.0,40.0,-1.0,False,153,-1.0,-1,23.0,0.0,5.0,5.0,0.0,-1.0,41472,-1.0,leaky-relu,True,leaky-relu,-1,15.0,0.007390895082304875,0.8034484,0.010141616234104688
-1.0,-1.0,-1.0,60.0,-1.0,False,156,-1.0,-1,8.0,0.0,5.0,5.0,0.0,-1.0,17927,-1.0,leaky-relu,True,leaky-relu,-1,5.0,0.007329630044599374,0.7954779,0.010143321804288704
-1.0,-1.0,-1.0,60.0,-1.0,False,132,-1.0,-1,15.0,0.0,5.0,3.0,0.0,-1.0,21368,-1.0,leaky-relu,True,leaky-relu,-1,10.0,0.007358234142884612,0.7995527,0.010162646251042134
15.0,3.0,-1.0,-1.0,23.0,True,44,-1.0,leaky-relu,15.0,-1.0,3.0,-1.0,0.0,0.0,40892,-1.0,leaky-relu,True,-1,-1,10.0,0.007326508949821194,0.7931333,0.010169824802733483
-1.0,-1.0,-1.0,60.0,-1.0,False,134,-1.0,-1,23.0,0.0,3.0,3.0,0.0,-1.0,22184,-1.0,leaky-relu,True,leaky-relu,-1,15.0,0.007096875847006838,0.7701134,0.010186381746495062
15.0,5.0,-1.0,-1.0,23.0,True,27,-1.0,leaky-relu,8.0,-1.0,5.0,-1.0,0.0,0.0,76931,-1.0,leaky-relu,True,-1,-1,5.0,0.007666138078396519,0.8308904,0.010187060497466014
-1.0,-1.0,-1.0,20.0,-1.0,False,141,-1.0,-1,15.0,0.0,5.0,5.0,0.0,-1.0,17488,-1.0,leaky-relu,True,leaky-relu,-1,10.0,0.007367896614596248,0.80196637,0.010243180552510283
-1.0,-1.0,-1.0,60.0,-1.0,False,102,-1.0,-1,8.0,0.0,5.0,2.0,0.0,-1.0,6947,-1.0,leaky-relu,True,leaky-relu,-1,5.0,0.0076069106968740625,0.82637423,0.01027585092551653
-1.0,-1.0,-1.0,60.0,-1.0,False,162,-1.0,-1,23.0,0.0,5.0,5.0,0.0,-1.0,48272,-1.0,leaky-relu,True,leaky-relu,-1,15.0,0.007704546985526879,0.8350728,0.010286649316120298
15.0,2.0,-1.0,-1.0,23.0,True,25,-1.0,leaky-relu,8.0,-1.0,5.0,-1.0,0.0,0.0,18971,-1.0,leaky-relu,True,-1,-1,5.0,0.007518167607486248,0.8154111,0.010377180203635433
10.0,3.0,-1.0,-1.0,15.0,True,68,-1.0,leaky-relu,23.0,-1.0,3.0,-1.0,0.0,0.0,31388,-1.0,leaky-relu,True,-1,-1,15.0,0.007679008645936847,0.8308368,0.01037814683056265
10.0,2.0,-1.0,-1.0,15.0,True,22,-1.0,leaky-relu,8.0,-1.0,5.0,-1.0,0.0,0.0,11411,-1.0,leaky-relu,True,-1,-1,5.0,0.007636921713128686,0.8300554,0.010386073052295386
5.0,2.0,-1.0,-1.0,8.0,True,46,-1.0,leaky-relu,15.0,-1.0,5.0,-1.0,0.0,0.0,17657,-1.0,leaky-relu,True,-1,-1,10.0,0.007872309613352021,0.8519931,0.010388159702804678
5.0,3.0,-1.0,-1.0,8.0,True,65,-1.0,leaky-relu,23.0,-1.0,3.0,-1.0,0.0,0.0,20993,-1.0,leaky-relu,True,-1,-1,15.0,0.007556368208800753,0.81655145,0.010399452481263635
