spinn_enabled_solution_u,spinn_enabled_dynamical_F,solution_u_subnet_args_output_dim,solution_u_subnet_args_layers_num,solution_u_subnet_args_hidden_dim,solution_u_subnet_args_dropout,solution_u_subnet_args_activation,dynamical_F_subnet_args_output_dim,dynamical_F_subnet_args_layers_num,dynamical_F_subnet_args_hidden_dim,dynamical_F_subnet_args_dropout,dynamical_F_subnet_args_activation,model_id,num_params,MAE,MAPE,RMSE,batch,solution_u_args_layers_num,solution_u_args_hidden_dim,solution_u_args_dropout,solution_u_args_activation,dynamical_F_args_layers_num,dynamical_F_args_hidden_dim,dynamical_F_args_dropout,dynamical_F_args_activation
True,False,15.0,3.0,23.0,0.0,leaky-relu,,,,,,125,19424,0.010838082991540432,1.164366,0.012608632838252554,1-1,,,,,3.0,40.0,0.0,leaky-relu
False,True,,,,,,10.0,2.0,15.0,0.0,leaky-relu,211,11486,0.010036908090114594,1.0774444,0.012630102601215058,1-1,3.0,60.0,0.0,leaky-relu,,,,
False,True,,,,,,5.0,3.0,8.0,0.0,leaky-relu,182,5831,0.00968005508184433,1.0352559,0.012630914848802178,1-1,2.0,60.0,0.0,leaky-relu,,,,
True,False,15.0,3.0,23.0,0.0,leaky-relu,,,,,,152,22704,0.010847911238670349,1.1625339,0.012632995346927672,1-1,,,,,5.0,40.0,0.0,leaky-relu
True,False,5.0,5.0,8.0,0.0,leaky-relu,,,,,,93,6207,0.010834426619112492,1.1667168,0.012638737402689934,1-1,,,,,2.0,40.0,0.0,leaky-relu
True,True,15.0,3.0,23.0,0.0,leaky-relu,15.0,5.0,23.0,0.0,leaky-relu,72,88508,0.01066204160451889,1.1492002,0.012638879596594585,1-1,,,,,,,,
False,True,,,,,,15.0,5.0,23.0,0.0,leaky-relu,198,73006,0.009695082902908325,1.0520366,0.012659879098094583,1-1,3.0,20.0,0.0,leaky-relu,,,,
True,True,10.0,3.0,15.0,0.0,leaky-relu,15.0,3.0,23.0,0.0,leaky-relu,44,40892,0.010492806322872639,1.1290882,0.012667385663617838,1-1,,,,,,,,
False,True,,,,,,5.0,5.0,8.0,0.0,leaky-relu,192,10531,0.010055127553641796,1.0932657,0.012676476066822602,1-1,3.0,20.0,0.0,leaky-relu,,,,
True,False,10.0,3.0,15.0,0.0,leaky-relu,,,,,,149,13728,0.010440777987241745,1.124599,0.0127044745543052,1-1,,,,,5.0,40.0,0.0,leaky-relu
True,True,5.0,5.0,8.0,0.0,leaky-relu,10.0,3.0,15.0,0.0,leaky-relu,23,19811,0.011170703917741776,1.2010463,0.012722536388063331,1-1,,,,,,,,
True,False,10.0,3.0,15.0,0.0,leaky-relu,,,,,,122,10448,0.01097190473228693,1.1746576,0.012741055745521484,1-1,,,,,3.0,40.0,0.0,leaky-relu
True,False,5.0,5.0,8.0,0.0,leaky-relu,,,,,,111,5887,0.010800798423588276,1.155694,0.0127540682166069,1-1,,,,,3.0,20.0,0.0,leaky-relu
True,False,10.0,3.0,15.0,0.0,leaky-relu,,,,,,86,8068,0.010931418277323246,1.171994,0.012772401149184572,1-1,,,,,2.0,20.0,0.0,leaky-relu
True,False,10.0,2.0,15.0,0.0,leaky-relu,,,,,,112,4408,0.010125487111508846,1.087878,0.012794950701160362,1-1,,,,,3.0,20.0,0.0,leaky-relu
True,True,10.0,3.0,15.0,0.0,leaky-relu,10.0,2.0,15.0,0.0,leaky-relu,40,14012,0.010522183030843735,1.1319375,0.012809188244128113,1-1,,,,,,,,
True,False,5.0,5.0,8.0,0.0,leaky-relu,,,,,,138,6727,0.011017602868378162,1.1853578,0.01284796948085883,1-1,,,,,5.0,20.0,0.0,leaky-relu
True,False,15.0,3.0,23.0,0.0,leaky-relu,,,,,,134,22184,0.010855201631784439,1.1637967,0.012849102620940182,1-1,,,,,3.0,60.0,0.0,leaky-relu
True,False,10.0,3.0,15.0,0.0,leaky-relu,,,,,,95,8808,0.011136241257190704,1.1957873,0.012850920759356123,1-1,,,,,2.0,40.0,0.0,leaky-relu
True,False,10.0,3.0,15.0,0.0,leaky-relu,,,,,,113,8488,0.011090261861681938,1.1917754,0.01286481131716905,1-1,,,,,3.0,20.0,0.0,leaky-relu
True,False,10.0,2.0,15.0,0.0,leaky-relu,,,,,,94,4728,0.010679928585886955,1.1442204,0.012867768345408228,1-1,,,,,2.0,40.0,0.0,leaky-relu
True,True,5.0,3.0,8.0,0.0,leaky-relu,15.0,3.0,23.0,0.0,leaky-relu,17,35843,0.010305868461728096,1.1102473,0.012914403361628201,1-1,,,,,,,,
True,False,5.0,5.0,8.0,0.0,leaky-relu,,,,,,147,11127,0.010946342721581459,1.180806,0.012921848782362282,1-1,,,,,5.0,40.0,0.0,leaky-relu
True,False,5.0,3.0,8.0,0.0,leaky-relu,,,,,,110,3439,0.010826438665390015,1.1591816,0.012932770618442285,1-1,,,,,3.0,20.0,0.0,leaky-relu
False,True,,,,,,15.0,3.0,23.0,0.0,leaky-relu,206,35966,0.010474346578121185,1.1152836,0.012941943347373249,1-1,3.0,40.0,0.0,leaky-relu,,,,
True,False,5.0,5.0,8.0,0.0,leaky-relu,,,,,,102,6947,0.011318913660943508,1.2173697,0.012951378679947079,1-1,,,,,2.0,60.0,0.0,leaky-relu
False,True,,,,,,5.0,5.0,8.0,0.0,leaky-relu,183,10871,0.010652381926774979,1.1395905,0.012985339875878337,1-1,2.0,60.0,0.0,leaky-relu,,,,
False,True,,,,,,15.0,2.0,23.0,0.0,leaky-relu,196,15046,0.01113112736493349,1.19156,0.01298561667146381,1-1,3.0,20.0,0.0,leaky-relu,,,,
False,True,,,,,,5.0,5.0,8.0,0.0,leaky-relu,219,11371,0.010897704400122166,1.1735905,0.01304851256072337,1-1,5.0,20.0,0.0,leaky-relu,,,,
True,True,15.0,2.0,23.0,0.0,leaky-relu,15.0,5.0,23.0,0.0,leaky-relu,63,79124,0.010592269711196423,1.1389802,0.013076931341649771,1-1,,,,,,,,
False,True,,,,,,15.0,2.0,23.0,0.0,leaky-relu,205,16646,0.010887745767831802,1.1723827,0.013109266957291331,1-1,3.0,40.0,0.0,leaky-relu,,,,
False,True,,,,,,15.0,5.0,23.0,0.0,leaky-relu,207,74606,0.010320808738470078,1.1038108,0.01315961308022182,1-1,3.0,40.0,0.0,leaky-relu,,,,
True,True,15.0,3.0,23.0,0.0,leaky-relu,10.0,2.0,15.0,0.0,leaky-relu,67,22988,0.010781430639326572,1.155736,0.013174443469158161,1-1,,,,,,,,
True,True,10.0,3.0,15.0,0.0,leaky-relu,10.0,5.0,15.0,0.0,leaky-relu,42,39212,0.010897821746766567,1.1689632,0.013189138575402447,1-1,,,,,,,,
True,True,15.0,3.0,23.0,0.0,leaky-relu,15.0,2.0,23.0,0.0,leaky-relu,70,30548,0.010709363035857677,1.1500378,0.013195335051780974,1-1,,,,,,,,
True,False,15.0,2.0,23.0,0.0,leaky-relu,,,,,,151,13320,0.010777678340673447,1.1586381,0.013209215406893071,1-1,,,,,5.0,40.0,0.0,leaky-relu
True,False,5.0,3.0,8.0,0.0,leaky-relu,,,,,,83,3019,0.01050049439072609,1.1249536,0.013250175646238217,1-1,,,,,2.0,20.0,0.0,leaky-relu
True,False,15.0,2.0,23.0,0.0,leaky-relu,,,,,,88,7660,0.010691984556615353,1.1501179,0.013251592853290082,1-1,,,,,2.0,20.0,0.0,leaky-relu
False,True,,,,,,10.0,3.0,15.0,0.0,leaky-relu,230,20766,0.011277669109404087,1.2184833,0.013340435397193531,1-1,5.0,40.0,0.0,leaky-relu,,,,
False,True,,,,,,5.0,3.0,8.0,0.0,leaky-relu,173,5451,0.010379752144217491,1.1122768,0.013352336308531528,1-1,2.0,40.0,0.0,leaky-relu,,,,
True,False,15.0,2.0,23.0,0.0,leaky-relu,,,,,,124,10040,0.011008393950760365,1.1789373,0.013352892115555428,1-1,,,,,3.0,40.0,0.0,leaky-relu
False,True,,,,,,10.0,2.0,15.0,0.0,leaky-relu,184,7826,0.009228548966348171,0.98950595,0.013361093573706479,1-1,2.0,60.0,0.0,leaky-relu,,,,
True,True,15.0,3.0,23.0,0.0,leaky-relu,5.0,3.0,8.0,0.0,leaky-relu,65,20993,0.010747060179710388,1.1535068,0.013427695902855986,1-1,,,,,,,,
True,True,5.0,5.0,8.0,0.0,leaky-relu,15.0,5.0,23.0,0.0,leaky-relu,27,76931,0.011470360681414604,1.2296113,0.013430980810112306,1-1,,,,,,,,
False,True,,,,,,5.0,5.0,8.0,0.0,leaky-relu,174,10491,0.010728750377893448,1.1554734,0.013527817435257574,1-1,2.0,40.0,0.0,leaky-relu,,,,
True,True,15.0,3.0,23.0,0.0,leaky-relu,5.0,5.0,8.0,0.0,leaky-relu,66,26033,0.011383939534425735,1.2151954,0.013533794872515888,1-1,,,,,,,,
True,True,10.0,3.0,15.0,0.0,leaky-relu,5.0,5.0,8.0,0.0,leaky-relu,39,17057,0.011158650740981102,1.1975814,0.013549089949890658,1-1,,,,,,,,
False,True,,,,,,15.0,3.0,23.0,0.0,leaky-relu,188,34706,0.009850060567259789,1.0572997,0.01356231588680083,1-1,2.0,60.0,0.0,leaky-relu,,,,
True,True,5.0,3.0,8.0,0.0,leaky-relu,10.0,2.0,15.0,0.0,leaky-relu,13,8963,0.011555034667253494,1.2383525,0.013619367318767476,1-1,,,,,,,,
True,False,5.0,3.0,8.0,0.0,leaky-relu,,,,,,155,15479,0.010926439426839352,1.1692994,0.013656700389751801,1-1,,,,,5.0,60.0,0.0,leaky-relu
True,True,10.0,3.0,15.0,0.0,leaky-relu,15.0,5.0,23.0,0.0,leaky-relu,45,79532,0.011009982787072659,1.1797268,0.013668989192008924,1-1,,,,,,,,
False,True,,,,,,10.0,3.0,15.0,0.0,leaky-relu,176,15846,0.010182485915720463,1.0917228,0.013695111708602622,1-1,2.0,40.0,0.0,leaky-relu,,,,
True,True,5.0,3.0,8.0,0.0,leaky-relu,5.0,2.0,8.0,0.0,leaky-relu,10,4448,0.01113292295485735,1.1919845,0.013757765317782621,1-1,,,,,,,,
False,True,,,,,,10.0,5.0,15.0,0.0,leaky-relu,222,33526,0.01133707445114851,1.2283301,0.013764573258901375,1-1,5.0,20.0,0.0,leaky-relu,,,,
False,True,,,,,,5.0,3.0,8.0,0.0,leaky-relu,191,5491,0.010203630663454533,1.1049335,0.013770247670738162,1-1,3.0,20.0,0.0,leaky-relu,,,,
True,False,5.0,3.0,8.0,0.0,leaky-relu,,,,,,119,5399,0.01080638263374567,1.1605834,0.013799342960322532,1-1,,,,,3.0,40.0,0.0,leaky-relu
False,True,,,,,,10.0,3.0,15.0,0.0,leaky-relu,221,16726,0.011064787395298481,1.1940243,0.013813151538277451,1-1,5.0,20.0,0.0,leaky-relu,,,,
False,True,,,,,,5.0,2.0,8.0,0.0,leaky-relu,172,2931,0.010321827605366707,1.1031592,0.01385389756495417,1-1,2.0,40.0,0.0,leaky-relu,,,,
True,True,5.0,3.0,8.0,0.0,leaky-relu,5.0,5.0,8.0,0.0,leaky-relu,12,12008,0.01168118417263031,1.2566705,0.013873086349649188,1-1,,,,,,,,
True,False,10.0,2.0,15.0,0.0,leaky-relu,,,,,,103,5468,0.011292388662695885,1.2091954,0.013936648632703733,1-1,,,,,2.0,60.0,0.0,leaky-relu
True,True,5.0,3.0,8.0,0.0,leaky-relu,10.0,5.0,15.0,0.0,leaky-relu,15,34163,0.011502043344080448,1.2346287,0.013944337179467222,1-1,,,,,,,,
True,False,15.0,2.0,23.0,0.0,leaky-relu,,,,,,106,9140,0.011186248622834682,1.1998919,0.013978280821235702,1-1,,,,,2.0,60.0,0.0,leaky-relu
True,True,15.0,2.0,23.0,0.0,leaky-relu,5.0,2.0,8.0,0.0,leaky-relu,55,9089,0.011335634626448154,1.216795,0.014002451034642621,1-1,,,,,,,,
True,True,5.0,3.0,8.0,0.0,leaky-relu,15.0,2.0,23.0,0.0,leaky-relu,16,16523,0.01178821176290512,1.2716256,0.014012184296715247,1-1,,,,,,,,
True,False,10.0,2.0,15.0,0.0,leaky-relu,,,,,,121,6368,0.01132466271519661,1.2143364,0.014080377294276676,1-1,,,,,3.0,40.0,0.0,leaky-relu
True,False,15.0,3.0,23.0,0.0,leaky-relu,,,,,,98,17784,0.011230078525841236,1.2031872,0.014093354003479074,1-1,,,,,2.0,40.0,0.0,leaky-relu
True,False,10.0,2.0,15.0,0.0,leaky-relu,,,,,,85,3988,0.011209364049136639,1.2024277,0.01410890060469668,1-1,,,,,2.0,20.0,0.0,leaky-relu
True,True,5.0,3.0,8.0,0.0,leaky-relu,10.0,3.0,15.0,0.0,leaky-relu,14,17363,0.010765009559690952,1.1628306,0.014161998735786661,1-1,,,,,,,,
True,False,10.0,3.0,15.0,0.0,leaky-relu,,,,,,140,9328,0.011692971922457218,1.2490208,0.014194211211311024,1-1,,,,,5.0,20.0,0.0,leaky-relu
True,True,10.0,3.0,15.0,0.0,leaky-relu,15.0,2.0,23.0,0.0,leaky-relu,43,21572,0.01078883372247219,1.1636586,0.014194239916901516,1-1,,,,,,,,
True,True,10.0,2.0,15.0,0.0,leaky-relu,10.0,5.0,15.0,0.0,leaky-relu,33,35132,0.011429950594902039,1.227218,0.014304522184178953,1-1,,,,,,,,
True,False,10.0,2.0,15.0,0.0,leaky-relu,,,,,,130,9128,0.011327528394758701,1.2193804,0.014353755399417082,1-1,,,,,3.0,60.0,0.0,leaky-relu
True,True,10.0,2.0,15.0,0.0,leaky-relu,5.0,3.0,8.0,0.0,leaky-relu,29,7937,0.011511311866343021,1.2396469,0.014383421638120357,1-1,,,,,,,,
True,False,5.0,2.0,8.0,0.0,leaky-relu,,,,,,91,2535,0.011504311114549637,1.2321614,0.01440207870424846,1-1,,,,,2.0,40.0,0.0,leaky-relu
False,True,,,,,,10.0,5.0,15.0,0.0,leaky-relu,177,32646,0.011536549776792526,1.2343645,0.014419357863588358,1-1,2.0,40.0,0.0,leaky-relu,,,,
False,True,,,,,,10.0,2.0,15.0,0.0,leaky-relu,175,7446,0.011350234970450401,1.2100371,0.014465901407874512,1-1,2.0,40.0,0.0,leaky-relu,,,,
True,True,15.0,3.0,23.0,0.0,leaky-relu,10.0,5.0,15.0,0.0,leaky-relu,69,48188,0.011867780238389969,1.273858,0.014521544922290066,1-1,,,,,,,,
True,False,5.0,2.0,8.0,0.0,leaky-relu,,,,,,118,4175,0.011549382470548153,1.2391913,0.014566149652253666,1-1,,,,,3.0,40.0,0.0,leaky-relu
True,False,5.0,2.0,8.0,0.0,leaky-relu,,,,,,109,2215,0.011425166390836239,1.2207962,0.014572529013763422,1-1,,,,,3.0,20.0,0.0,leaky-relu
True,False,15.0,2.0,23.0,0.0,leaky-relu,,,,,,142,8920,0.012162885628640652,1.2999582,0.014581442158003772,1-1,,,,,5.0,20.0,0.0,leaky-relu
True,True,15.0,3.0,23.0,0.0,leaky-relu,5.0,2.0,8.0,0.0,leaky-relu,64,18473,0.011213398538529873,1.2002295,0.014773536501659404,1-1,,,,,,,,
False,True,,,,,,15.0,2.0,23.0,0.0,leaky-relu,187,15386,0.01076588500291109,1.1536705,0.014777823579263657,1-1,2.0,60.0,0.0,leaky-relu,,,,
True,True,15.0,2.0,23.0,0.0,leaky-relu,15.0,2.0,23.0,0.0,leaky-relu,61,21164,0.011257452890276909,1.2158738,0.014847327102509366,1-1,,,,,,,,
True,True,15.0,2.0,23.0,0.0,leaky-relu,10.0,5.0,15.0,0.0,leaky-relu,60,38804,0.011254727840423584,1.2108865,0.01491970528857876,1-1,,,,,,,,
True,True,5.0,3.0,8.0,0.0,leaky-relu,15.0,5.0,23.0,0.0,leaky-relu,18,74483,0.012041185982525349,1.2931764,0.014953129137726463,1-1,,,,,,,,
False,True,,,,,,5.0,2.0,8.0,0.0,leaky-relu,208,6971,0.011726131662726402,1.2506372,0.014971849454562071,1-1,3.0,60.0,0.0,leaky-relu,,,,
True,False,15.0,2.0,23.0,0.0,leaky-relu,,,,,,160,20120,0.01173095777630806,1.2628992,0.014974171753153727,1-1,,,,,5.0,60.0,0.0,leaky-relu
True,False,10.0,2.0,15.0,0.0,leaky-relu,,,,,,139,5248,0.011942360550165176,1.2785177,0.014981677035072718,1-1,,,,,5.0,20.0,0.0,leaky-relu
True,True,5.0,2.0,8.0,0.0,leaky-relu,15.0,2.0,23.0,0.0,leaky-relu,7,15299,0.012036613188683987,1.2980993,0.015179499613401128,1-1,,,,,,,,
True,True,5.0,2.0,8.0,0.0,leaky-relu,5.0,2.0,8.0,0.0,leaky-relu,1,3224,0.013173915445804596,1.4155705,0.015191134194615628,1-1,,,,,,,,
True,False,5.0,3.0,8.0,0.0,leaky-relu,,,,,,146,8679,0.011986138299107552,1.28372,0.015204820081785036,1-1,,,,,5.0,40.0,0.0,leaky-relu
True,False,15.0,2.0,23.0,0.0,leaky-relu,,,,,,133,12800,0.012236681766808033,1.316957,0.015250068079711453,1-1,,,,,3.0,60.0,0.0,leaky-relu
True,True,5.0,2.0,8.0,0.0,leaky-relu,10.0,2.0,15.0,0.0,leaky-relu,4,7739,0.012203892692923546,1.3125422,0.015333293696534137,1-1,,,,,,,,
False,True,,,,,,10.0,2.0,15.0,0.0,leaky-relu,166,7066,0.011276115663349628,1.2151848,0.015402628521187768,1-1,2.0,20.0,0.0,leaky-relu,,,,
True,True,5.0,2.0,8.0,0.0,leaky-relu,5.0,5.0,8.0,0.0,leaky-relu,3,10784,0.012205851264297962,1.3098216,0.015423498957301104,1-1,,,,,,,,
True,True,5.0,2.0,8.0,0.0,leaky-relu,10.0,3.0,15.0,0.0,leaky-relu,5,16139,0.011531817726790905,1.2351234,0.01543235059810363,1-1,,,,,,,,
True,True,15.0,2.0,23.0,0.0,leaky-relu,10.0,3.0,15.0,0.0,leaky-relu,59,22004,0.012381816282868385,1.3295078,0.015445783185793578,1-1,,,,,,,,
False,True,,,,,,10.0,2.0,15.0,0.0,leaky-relu,193,7486,0.011416473425924778,1.2271692,0.015462013188595329,1-1,3.0,20.0,0.0,leaky-relu,,,,
True,False,15.0,2.0,23.0,0.0,leaky-relu,,,,,,97,8400,0.012206596322357655,1.309176,0.015534828064708217,1-1,,,,,2.0,40.0,0.0,leaky-relu
True,False,10.0,2.0,15.0,0.0,leaky-relu,,,,,,157,16448,0.011984218843281269,1.2908925,0.015554651578026357,1-1,,,,,5.0,60.0,0.0,leaky-relu
True,False,10.0,2.0,15.0,0.0,leaky-relu,,,,,,148,9648,0.012329315766692162,1.3256382,0.015558755227138562,1-1,,,,,5.0,40.0,0.0,leaky-relu
True,True,10.0,2.0,15.0,0.0,leaky-relu,10.0,2.0,15.0,0.0,leaky-relu,31,9932,0.012362869456410408,1.3164297,0.015596369127183157,1-1,,,,,,,,
False,True,,,,,,15.0,3.0,23.0,0.0,leaky-relu,197,34366,0.01103542186319828,1.1932614,0.015616117780309876,1-1,3.0,20.0,0.0,leaky-relu,,,,
False,True,,,,,,15.0,5.0,23.0,0.0,leaky-relu,171,72586,0.011914300732314587,1.284092,0.015619546620327718,1-1,2.0,20.0,0.0,leaky-relu,,,,
False,True,,,,,,5.0,2.0,8.0,0.0,leaky-relu,217,3811,0.012511956505477428,1.3566009,0.0157650800226553,1-1,5.0,20.0,0.0,leaky-relu,,,,
False,True,,,,,,10.0,2.0,15.0,0.0,leaky-relu,220,8326,0.011915338225662708,1.299126,0.015780089934421343,1-1,5.0,20.0,0.0,leaky-relu,,,,
True,False,5.0,2.0,8.0,0.0,leaky-relu,,,,,,82,1795,0.01250374410301447,1.3456256,0.015832925701593125,1-1,,,,,2.0,20.0,0.0,leaky-relu
True,False,5.0,3.0,8.0,0.0,leaky-relu,,,,,,128,8159,0.01307231467217207,1.401789,0.015899888840538327,1-1,,,,,3.0,60.0,0.0,leaky-relu
False,True,,,,,,10.0,5.0,15.0,0.0,leaky-relu,186,33026,0.012566988356411457,1.3424596,0.015911756660726053,1-1,2.0,60.0,0.0,leaky-relu,,,,
True,True,10.0,2.0,15.0,0.0,leaky-relu,15.0,3.0,23.0,0.0,leaky-relu,35,36812,0.012242655269801617,1.3215166,0.01593882501314886,1-1,,,,,,,,
True,True,5.0,2.0,8.0,0.0,leaky-relu,10.0,5.0,15.0,0.0,leaky-relu,6,32939,0.01257250364869833,1.3516805,0.016000969471782922,1-1,,,,,,,,
True,True,15.0,2.0,23.0,0.0,leaky-relu,5.0,3.0,8.0,0.0,leaky-relu,56,11609,0.01154460571706295,1.252604,0.016065755026103228,1-1,,,,,,,,
True,True,5.0,2.0,8.0,0.0,leaky-relu,5.0,3.0,8.0,0.0,leaky-relu,2,5744,0.012608453631401062,1.3511863,0.01609516932075978,1-1,,,,,,,,
False,True,,,,,,5.0,3.0,8.0,0.0,leaky-relu,218,6331,0.012268533930182457,1.3201324,0.016158316453861135,1-1,5.0,20.0,0.0,leaky-relu,,,,
False,True,,,,,,15.0,2.0,23.0,0.0,leaky-relu,178,15006,0.01236659288406372,1.3160394,0.016190162130317473,1-1,2.0,40.0,0.0,leaky-relu,,,,
True,True,10.0,2.0,15.0,0.0,leaky-relu,5.0,2.0,8.0,0.0,leaky-relu,28,5417,0.01307614054530859,1.4099652,0.016225628164008563,1-1,,,,,,,,
True,False,5.0,3.0,8.0,0.0,leaky-relu,,,,,,137,4279,0.013280794024467468,1.4170074,0.016235725319654545,1-1,,,,,5.0,20.0,0.0,leaky-relu
True,False,5.0,2.0,8.0,0.0,leaky-relu,,,,,,100,3275,0.012136886827647686,1.3049567,0.01627173953021693,1-1,,,,,2.0,60.0,0.0,leaky-relu
True,False,5.0,2.0,8.0,0.0,leaky-relu,,,,,,145,7455,0.013240263797342777,1.415934,0.016453489345744098,1-1,,,,,5.0,40.0,0.0,leaky-relu
False,True,,,,,,15.0,3.0,23.0,0.0,leaky-relu,224,35206,0.013111517764627934,1.4167436,0.0164650606613985,1-1,5.0,20.0,0.0,leaky-relu,,,,
False,True,,,,,,10.0,5.0,15.0,0.0,leaky-relu,195,32686,0.012622741982340813,1.358552,0.016505675355061273,1-1,3.0,20.0,0.0,leaky-relu,,,,
True,True,5.0,2.0,8.0,0.0,leaky-relu,15.0,3.0,23.0,0.0,leaky-relu,8,34619,0.0124775730073452,1.342545,0.01655201055834653,1-1,,,,,,,,
True,True,15.0,2.0,23.0,0.0,leaky-relu,5.0,5.0,8.0,0.0,leaky-relu,57,16649,0.01286572776734829,1.3873591,0.016582153348506903,1-1,,,,,,,,
False,True,,,,,,15.0,3.0,23.0,0.0,leaky-relu,170,33946,0.013056501746177673,1.3981702,0.01659516516309987,1-1,2.0,20.0,0.0,leaky-relu,,,,
False,True,,,,,,15.0,2.0,23.0,0.0,leaky-relu,223,15886,0.013264463283121586,1.4337013,0.016617394884926754,1-1,5.0,20.0,0.0,leaky-relu,,,,
True,True,5.0,3.0,8.0,0.0,leaky-relu,5.0,3.0,8.0,0.0,leaky-relu,11,6968,0.013246286660432816,1.4150457,0.016817855103811334,1-1,,,,,,,,
True,True,10.0,2.0,15.0,0.0,leaky-relu,15.0,5.0,23.0,0.0,leaky-relu,36,75452,0.013101078569889069,1.4096667,0.01691696222801751,1-1,,,,,,,,
True,False,15.0,2.0,23.0,0.0,leaky-relu,,,,,,115,8080,0.013814886100590229,1.4816802,0.017053961550106397,1-1,,,,,3.0,20.0,0.0,leaky-relu
False,True,,,,,,15.0,5.0,23.0,0.0,leaky-relu,189,73346,0.014451849274337292,1.5432882,0.017263349150062196,1-1,2.0,60.0,0.0,leaky-relu,,,,
False,True,,,,,,5.0,2.0,8.0,0.0,leaky-relu,181,3311,0.013367762789130211,1.4197009,0.017397199460681575,1-1,2.0,60.0,0.0,leaky-relu,,,,
True,True,15.0,2.0,23.0,0.0,leaky-relu,15.0,3.0,23.0,0.0,leaky-relu,62,40484,0.014327269978821278,1.5432141,0.017401604493544692,1-1,,,,,,,,
False,True,,,,,,15.0,5.0,23.0,0.0,leaky-relu,225,73846,0.013692633248865604,1.466452,0.017608865706750677,1-1,5.0,20.0,0.0,leaky-relu,,,,
False,True,,,,,,5.0,2.0,8.0,0.0,leaky-relu,190,2971,0.014168793335556984,1.5266207,0.017690470918138277,1-1,3.0,20.0,0.0,leaky-relu,,,,
False,True,,,,,,10.0,3.0,15.0,0.0,leaky-relu,185,16226,0.013083222322165966,1.3953842,0.018215292485869988,1-1,2.0,60.0,0.0,leaky-relu,,,,
True,False,5.0,2.0,8.0,0.0,leaky-relu,,,,,,154,14255,0.013562068343162537,1.4693865,0.018311120660056884,1-1,,,,,5.0,60.0,0.0,leaky-relu
False,True,,,,,,15.0,5.0,23.0,0.0,leaky-relu,180,72966,0.012901497073471546,1.382527,0.018466428195000495,1-1,2.0,40.0,0.0,leaky-relu,,,,
True,True,15.0,2.0,23.0,0.0,leaky-relu,10.0,2.0,15.0,0.0,leaky-relu,58,13604,0.014255797490477562,1.5412886,0.018597205129284762,1-1,,,,,,,,
False,True,,,,,,5.0,5.0,8.0,0.0,leaky-relu,165,10111,0.013821414671838284,1.4755319,0.01871016030524185,1-1,2.0,20.0,0.0,leaky-relu,,,,
False,True,,,,,,10.0,5.0,15.0,0.0,leaky-relu,168,32266,0.013003889471292496,1.4020575,0.019345507457096026,1-1,2.0,20.0,0.0,leaky-relu,,,,
True,True,15.0,5.0,23.0,0.0,leaky-relu,5.0,2.0,8.0,0.0,leaky-relu,73,37241,0.015658993273973465,1.6753118,0.019503454457174323,1-1,,,,,,,,
True,False,5.0,2.0,8.0,0.0,leaky-relu,,,,,,136,3055,0.014955437742173672,1.614456,0.01953998161880184,1-1,,,,,5.0,20.0,0.0,leaky-relu
True,True,10.0,2.0,15.0,0.0,leaky-relu,10.0,3.0,15.0,0.0,leaky-relu,32,18332,0.014738179743289948,1.5980961,0.019820106102066488,1-1,,,,,,,,
False,True,,,,,,10.0,3.0,15.0,0.0,leaky-relu,167,15466,0.014086462557315826,1.5111866,0.020184493633737175,1-1,2.0,20.0,0.0,leaky-relu,,,,
True,True,5.0,2.0,8.0,0.0,leaky-relu,15.0,5.0,23.0,0.0,leaky-relu,9,73259,0.015822917222976685,1.7079824,0.020342911766640034,1-1,,,,,,,,
False,True,,,,,,15.0,3.0,23.0,0.0,leaky-relu,179,34326,0.01655111275613308,1.7569758,0.02108249104438234,1-1,2.0,40.0,0.0,leaky-relu,,,,
False,True,,,,,,5.0,3.0,8.0,0.0,leaky-relu,164,5071,0.015689967200160027,1.6859916,0.021291910399895867,1-1,2.0,20.0,0.0,leaky-relu,,,,
False,True,,,,,,15.0,2.0,23.0,0.0,leaky-relu,169,14626,0.016097990795969963,1.7166634,0.021790653355802724,1-1,2.0,20.0,0.0,leaky-relu,,,,
True,True,10.0,2.0,15.0,0.0,leaky-relu,15.0,2.0,23.0,0.0,leaky-relu,34,17492,0.017026681452989578,1.8289676,0.022146924676142373,1-1,,,,,,,,
True,True,10.0,2.0,15.0,0.0,leaky-relu,5.0,5.0,8.0,0.0,leaky-relu,30,12977,0.017992939800024033,1.9174292,0.02217880474675586,1-1,,,,,,,,
True,False,5.0,2.0,8.0,0.0,leaky-relu,,,,,,127,6935,0.02169007435441017,2.3294044,0.026939991674500254,1-1,,,,,3.0,60.0,0.0,leaky-relu
-1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,13662,0.022725626826286316,2.4665058,0.029080859162887624,1-1,,,,,,,,
True,False,15.0,3.0,23.0,0.0,leaky-relu,,,,,,134,22184,0.0064859697595238686,0.69777465,0.008557654159250114,2-2,,,,,3.0,60.0,0.0,leaky-relu
True,True,5.0,5.0,8.0,0.0,leaky-relu,15.0,3.0,23.0,0.0,leaky-relu,26,38291,0.007478547282516956,0.79890436,0.00957852518755597,2-2,,,,,,,,
