batch,output_dim,hidden_dim,num_layer,dropout,num_param,MAE,MAPE,RMSE
1-1,1,2,3,0.0,6119,0.008814986795186996,0.94758046,0.010663836612378812
1-1,15,23,5,0.0,40952,0.010156909003853798,1.0927066,0.011491101035431139
1-1,10,15,2,0.2,9128,0.010065894573926926,1.0859889,0.011582382699987922
1-1,15,23,3,0.0,22184,0.010265957564115524,1.1056519,0.01163893017555851
1-1,15,23,2,0.0,12800,0.010472306981682777,1.1233242,0.011881677934475973
1-1,6,9,3,0.0,8754,0.01025755237787962,1.1001233,0.012180226221322322
1-1,10,15,3,0.0,13208,0.010377195663750172,1.1166236,0.012180363612925946
1-1,10,15,2,0.1,9128,0.010026706382632256,1.0778142,0.012197569518048785
1-1,6,9,5,0.0,11814,0.01056668907403946,1.1379765,0.012233871516285078
1-1,1,2,5,0.0,6323,0.01036535482853651,1.1174486,0.012308368860661181
1-1,10,15,5,0.0,21368,0.010428826324641705,1.121093,0.012399547742327467
1-1,3,5,3,0.0,6884,0.01034202054142952,1.1085107,0.01267364261840924
1-1,3,5,5,0.0,7904,0.01104502659291029,1.1891468,0.012703994042981588
1-1,6,9,2,0.0,7224,0.011187399737536907,1.2024046,0.012937924681666746
1-1,15,23,2,0.1,12800,0.011451288126409054,1.2317747,0.01346472770352761
1-1,6,9,2,0.1,7224,0.010994932614266872,1.177157,0.01361829933893987
1-1,3,5,2,0.0,6374,0.011453129351139069,1.230125,0.013863624384470283
1-1,10,15,2,0.0,9128,0.012164236977696419,1.3007885,0.014751524095087037
1-1,15,23,2,0.2,12800,0.013016394339501858,1.3890035,0.01481827831500679
1-1,6,9,2,0.2,7224,0.013447403907775879,1.4370733,0.016052064785821815
1-1,1,2,2,0.2,6017,0.012715012766420841,1.3560659,0.01612755565833254
1-1,3,5,2,0.2,6374,0.011786348186433315,1.2794111,0.01635270531109386
1-1,3,5,2,0.1,6374,0.011980005539953709,1.291165,0.016379219093469222
1-1,1,2,2,0.0,6017,0.016178393736481667,1.751202,0.020366498293023526
1-1,10,15,3,0.2,13208,0.016958560794591904,1.824753,0.020888352913313934
1-1,15,23,3,0.1,22184,0.018200034275650978,1.9441833,0.022009717626922994
1-1,10,15,3,0.1,13208,0.01866820827126503,1.9880493,0.022283358737540296
1-1,15,23,3,0.2,22184,0.019491448998451233,2.073142,0.022640722859097427
1-1,6,9,3,0.1,8754,0.01850762590765953,2.0127912,0.023807911624478022
1-1,15,23,5,0.1,40952,0.018192937597632408,1.9877259,0.02411673092286342
1-1,6,9,3,0.2,8754,0.020267926156520844,2.182396,0.02556468034175959
1-1,1,2,3,0.1,6119,0.022972578182816505,2.4630098,0.027331158812916742
1-1,3,5,3,0.1,6884,0.02386901155114174,2.5898786,0.029055716457710108
1-1,6,9,5,0.1,11814,0.02192624658346176,2.3954396,0.029205190724043744
1-1,-1,-1,-1,-1.0,13662,0.022832296788692474,2.4982054,0.030679828393339187
