spinn_enabled_solution_u,spinn_enabled_dynamical_F,solution_u_subnet_args_output_dim,solution_u_subnet_args_layers_num,solution_u_subnet_args_hidden_dim,solution_u_subnet_args_dropout,solution_u_subnet_args_activation,dynamical_F_args_layers_num,dynamical_F_args_hidden_dim,dynamical_F_args_dropout,dynamical_F_args_activation,model_id,num_params,MAE,MAPE,RMSE,batch,dynamical_F_subnet_args_output_dim,dynamical_F_subnet_args_layers_num,dynamical_F_subnet_args_hidden_dim,dynamical_F_subnet_args_dropout,dynamical_F_subnet_args_activation,solution_u_args_layers_num,solution_u_args_hidden_dim,solution_u_args_dropout,solution_u_args_activation
True,False,10.0,5.0,15.0,0.0,leaky-relu,2.0,60.0,0.0,leaky-relu,105,17708,0.0045850304886698,0.49924538,0.0058020592355017,0-0,,,,,,,,,
True,False,5.0,5.0,8.0,0.0,leaky-relu,2.0,60.0,0.0,leaky-relu,102,6947,0.0044613853096961,0.49131125,0.0058074725531993,0-0,,,,,,,,,
True,True,10.0,3.0,15.0,0.0,leaky-relu,,,,,42,39212,0.0042839273810386,0.4683146,0.0058124865321787,0-0,10.0,5.0,15.0,0.0,leaky-relu,,,,
True,True,5.0,2.0,8.0,0.0,leaky-relu,,,,,1,3224,0.0042253942228853,0.4628391,0.0058140372814187,0-0,5.0,2.0,8.0,0.0,leaky-relu,,,,
True,False,15.0,5.0,23.0,0.0,sin,3.0,40.0,0.0,sin,16,38192,0.0043326327577233315,0.47568565607070923,0.005815774655540008,0-0,,,,,,,,,
True,False,10.0,5.0,15.0,0.0,leaky-relu,3.0,40.0,0.0,leaky-relu,123,18608,0.0042607518844306,0.4683013,0.0058180380313837,0-0,,,,,,,,,
True,True,5.0,5.0,8.0,0.0,sin,,,,,19,9416,0.0044456166215240955,0.4856240153312683,0.005843192655032165,0-0,5.0,3.0,8.0,0.0,sin,,,,
True,True,5.0,5.0,8.0,0.0,sin,,,,,8,14456,0.00453756470233202,0.49591612815856934,0.005867730766641736,0-0,5.0,5.0,8.0,0.0,sin,,,,
True,True,15.0,5.0,23.0,0.0,leaky-relu,,,,,75,44801,0.0046949535608291,0.51251554,0.0058709445739185,0-0,5.0,5.0,8.0,0.0,leaky-relu,,,,
True,True,5.0,3.0,8.0,0.0,leaky-relu,,,,,18,74483,0.0044279615394771,0.48164093,0.0058807124853476,0-0,15.0,5.0,23.0,0.0,leaky-relu,,,,
True,True,10.0,5.0,15.0,0.0,leaky-relu,,,,,49,22172,0.0043267104774713,0.47503576,0.0058873002865237,0-0,10.0,2.0,15.0,0.0,leaky-relu,,,,
True,True,10.0,3.0,15.0,0.0,leaky-relu,,,,,38,12017,0.0043023843318223,0.46974245,0.0058878007939612,0-0,5.0,3.0,8.0,0.0,leaky-relu,,,,
True,True,15.0,5.0,23.0,0.0,leaky-relu,,,,,73,37241,0.0046208570711314,0.5017157,0.0059147268599711,0-0,5.0,2.0,8.0,0.0,leaky-relu,,,,
True,False,5.0,5.0,8.0,0.0,leaky-relu,3.0,20.0,0.0,leaky-relu,111,5887,0.0044273557141423,0.49106935,0.0059384851712824,0-0,,,,,,,,,
True,False,10.0,5.0,15.0,0.0,leaky-relu,5.0,60.0,0.0,leaky-relu,159,28688,0.0044010649435222,0.48282844,0.0059486669133911,0-0,,,,,,,,,
True,False,15.0,5.0,23.0,0.0,leaky-relu,5.0,40.0,0.0,leaky-relu,153,41472,0.0043534580618143,0.47993153,0.0059713864775973,0-0,,,,,,,,,
True,False,5.0,3.0,8.0,0.0,leaky-relu,5.0,20.0,0.0,leaky-relu,137,4279,0.0044691581279039,0.48864424,0.005973880774778,0-0,,,,,,,,,
True,False,15.0,5.0,23.0,0.0,leaky-relu,3.0,40.0,0.0,leaky-relu,126,38192,0.0044928034767508,0.49488735,0.0060030970457591,0-0,,,,,,,,,
True,True,10.0,5.0,15.0,0.0,sin,,,,,20,20177,0.00432208739221096,0.47383037209510803,0.006042643626736452,0-0,5.0,3.0,8.0,0.0,sin,,,,
True,True,15.0,5.0,23.0,0.0,leaky-relu,,,,,80,68636,0.0045375493355095,0.49400422,0.0060858351210073,0-0,15.0,3.0,23.0,0.0,leaky-relu,,,,
True,True,10.0,3.0,15.0,0.0,leaky-relu,,,,,41,22412,0.0041805864311754,0.45572695,0.0060933612755285,0-0,10.0,3.0,15.0,0.0,leaky-relu,,,,
True,False,15.0,3.0,23.0,0.0,leaky-relu,2.0,60.0,0.0,leaky-relu,107,18524,0.0047875214368104,0.51873857,0.0060997930738062,0-0,,,,,,,,,
True,False,15.0,5.0,23.0,0.0,leaky-relu,3.0,20.0,0.0,leaky-relu,117,36232,0.0045101237483322,0.49719125,0.0061185336125048,0-0,,,,,,,,,
True,True,15.0,3.0,23.0,0.0,leaky-relu,,,,,66,26033,0.0045729177072644,0.49917045,0.0061377998904951,0-0,5.0,5.0,8.0,0.0,leaky-relu,,,,
True,False,10.0,3.0,15.0,0.0,leaky-relu,2.0,60.0,0.0,leaky-relu,104,9548,0.004739707801491,0.5144819,0.0061979093520496,0-0,,,,,,,,,
True,True,10.0,5.0,15.0,0.0,leaky-relu,,,,,50,30572,0.004645615350455,0.51240003,0.0062072368965718,0-0,10.0,3.0,15.0,0.0,leaky-relu,,,,
True,True,15.0,5.0,23.0,0.0,sin,,,,,6,68636,0.004737006966024637,0.5186029076576233,0.0062223056491197025,0-0,15.0,3.0,23.0,0.0,sin,,,,
True,False,5.0,5.0,8.0,0.0,leaky-relu,3.0,40.0,0.0,leaky-relu,120,7847,0.0046604885719716,0.5123111,0.0062325426460088,0-0,,,,,,,,,
True,False,5.0,5.0,8.0,0.0,leaky-relu,2.0,40.0,0.0,leaky-relu,93,6207,0.0046949186362326,0.5179902,0.0062354905447933,0-0,,,,,,,,,
True,False,10.0,5.0,15.0,0.0,leaky-relu,5.0,40.0,0.0,leaky-relu,150,21888,0.0046313474886119,0.50774074,0.0062452480875281,0-0,,,,,,,,,
True,False,15.0,5.0,23.0,0.0,leaky-relu,5.0,60.0,0.0,leaky-relu,162,48272,0.0045848400332033,0.504987,0.0062485489357555,0-0,,,,,,,,,
True,True,5.0,5.0,8.0,0.0,sin,,,,,15,38291,0.004714868497103453,0.5212306380271912,0.006272751475639799,0-0,15.0,3.0,23.0,0.0,sin,,,,
True,False,15.0,5.0,23.0,0.0,leaky-relu,2.0,40.0,0.0,leaky-relu,99,36552,0.0049370788037776,0.5384475,0.0062853979221656,0-0,,,,,,,,,
True,True,15.0,3.0,23.0,0.0,leaky-relu,,,,,72,88508,0.0051182196475565,0.5545603,0.0062923908376374,0-0,15.0,5.0,23.0,0.0,leaky-relu,,,,
True,False,5.0,2.0,8.0,0.0,leaky-relu,2.0,40.0,0.0,leaky-relu,91,2535,0.0047414200380444,0.5148714,0.0063156443477818,0-0,,,,,,,,,
True,False,10.0,5.0,15.0,0.0,leaky-relu,5.0,20.0,0.0,leaky-relu,141,17488,0.0046995962038636,0.51749843,0.0063228221679248,0-0,,,,,,,,,
True,False,10.0,5.0,15.0,0.0,leaky-relu,2.0,20.0,0.0,leaky-relu,87,16228,0.0049394066445529,0.5387325,0.0063240746300884,0-0,,,,,,,,,
True,True,10.0,3.0,15.0,0.0,leaky-relu,,,,,44,40892,0.0050408467650413,0.54468703,0.0063306122297121,0-0,15.0,3.0,23.0,0.0,leaky-relu,,,,
True,False,15.0,5.0,23.0,0.0,leaky-relu,5.0,20.0,0.0,leaky-relu,144,37072,0.0048403381370007,0.5321328,0.0063658745718773,0-0,,,,,,,,,
True,False,15.0,5.0,23.0,0.0,leaky-relu,2.0,60.0,0.0,leaky-relu,108,37292,0.0048430045135319,0.52856386,0.0063668297313519,0-0,,,,,,,,,
True,True,5.0,5.0,8.0,0.0,leaky-relu,,,,,21,14456,0.004687535110861,0.51539046,0.0063805518668082,0-0,5.0,5.0,8.0,0.0,leaky-relu,,,,
False,True,,,,,,,,,,243,84326,0.0043198787607252,0.4764811,0.0064072422818816,0-0,15.0,5.0,23.0,0.0,leaky-relu,5.0,60.0,0.0,leaky-relu
True,False,5.0,3.0,8.0,0.0,leaky-relu,3.0,20.0,0.0,leaky-relu,110,3439,0.0046303356066346,0.4986276,0.0064343814584227,0-0,,,,,,,,,
True,True,10.0,5.0,15.0,0.0,sin,,,,,5,25217,0.004987304098904133,0.5471208691596985,0.006497948536696323,0-0,5.0,5.0,8.0,0.0,sin,,,,
True,False,10.0,3.0,15.0,0.0,leaky-relu,5.0,20.0,0.0,leaky-relu,140,9328,0.0048424871638417,0.53122723,0.0065115812434752,0-0,,,,,,,,,
True,True,5.0,5.0,8.0,0.0,leaky-relu,,,,,27,76931,0.004873878788203,0.5380608,0.0065389883843553,0-0,15.0,5.0,23.0,0.0,leaky-relu,,,,
True,False,5.0,5.0,8.0,0.0,leaky-relu,3.0,60.0,0.0,leaky-relu,129,10607,0.0049959341995418,0.5453029,0.0065427454622977,0-0,,,,,,,,,
True,False,15.0,3.0,23.0,0.0,leaky-relu,3.0,40.0,0.0,leaky-relu,125,19424,0.0047752689570188,0.5215369,0.0065491231043567,0-0,,,,,,,,,
True,False,5.0,5.0,8.0,0.0,leaky-relu,5.0,40.0,0.0,leaky-relu,147,11127,0.0049803419969975,0.5467993,0.0065572559973717,0-0,,,,,,,,,
True,True,5.0,5.0,8.0,0.0,leaky-relu,,,,,25,18971,0.0048650722019374,0.5340147,0.0065585651994195,0-0,15.0,2.0,23.0,0.0,leaky-relu,,,,
True,False,5.0,3.0,8.0,0.0,leaky-relu,5.0,60.0,0.0,leaky-relu,155,15479,0.0046915472485125,0.51242673,0.0065784462640927,0-0,,,,,,,,,
True,False,15.0,3.0,23.0,0.0,leaky-relu,2.0,40.0,0.0,leaky-relu,98,17784,0.0049814349040389,0.5414731,0.0065847501021805,0-0,,,,,,,,,
True,False,10.0,5.0,15.0,0.0,leaky-relu,3.0,20.0,0.0,leaky-relu,114,16648,0.004825476091355,0.5259008,0.0066008621373699,0-0,,,,,,,,,
False,True,,,,,,,,,,234,77886,0.0044387876987457,0.49281284,0.0066241828089125,0-0,15.0,5.0,23.0,0.0,leaky-relu,5.0,40.0,0.0,leaky-relu
True,True,5.0,5.0,8.0,0.0,leaky-relu,,,,,22,11411,0.004952332470566,0.54464257,0.0066377826087641,0-0,10.0,2.0,15.0,0.0,leaky-relu,,,,
True,False,5.0,5.0,8.0,0.0,leaky-relu,5.0,20.0,0.0,leaky-relu,138,6727,0.0047267652116715,0.5235977,0.0066574432311872,0-0,,,,,,,,,
True,False,10.0,2.0,15.0,0.0,leaky-relu,5.0,60.0,0.0,leaky-relu,157,16448,0.0050626783631742,0.54892695,0.0066994715918679,0-0,,,,,,,,,
True,False,15.0,3.0,23.0,0.0,leaky-relu,2.0,20.0,0.0,leaky-relu,89,17044,0.0052337399683892,0.5689669,0.0067057994573421,0-0,,,,,,,,,
True,True,10.0,3.0,15.0,0.0,leaky-relu,,,,,37,9497,0.00495959026739,0.54538345,0.0067284690769852,0-0,5.0,2.0,8.0,0.0,leaky-relu,,,,
True,True,5.0,5.0,8.0,0.0,leaky-relu,,,,,19,6896,0.0050232238136231,0.55205333,0.00674480009742,0-0,5.0,2.0,8.0,0.0,leaky-relu,,,,
